# CC-CEDICT converted to Zhuyin by tools/build_zhuyin_dictionary.py
# key<TAB>candidate1 candidate2 ...
# Candidates ranked with McBopomofo phrase.occ frequency data
ㄇ	姆 嘸 呣
ㄓ	之 只 知 至 制 指 直 治 質 識 支 製 值 職 致 執 止 置 織 志 智 徵 紙 植 誌 氏 殖 址 枝 秩 緻 肢 芝 汁 旨 稚 脂 祇 滯 擲 幟 祉 吱 蜘 痣 窒 摯 炙 趾 峙 櫛 姪 芷 祗 咫 桎 酯 蛭 侄 痔 躓 寘 枳 沚 輊 胝 躑 忮 衹 彘 縶 跂 帙 厎 梔 疐 豸 郅 鋕 埴 庤 稙 贄 跖 蹠 銍 䵹 乿 値 偫 卮 厔 夂 妷 巵 帋 廌 恉 懥 懫 戠 搘 摭 擿 柣 椥 榰 樴 泜 滍 猘 畤 秖 秷 稺 穉 紩 胑 膣 蘵 袟 袠 觶 豑 跱 軹 迣 鉄
ㄔ	持 吃 尺 池 赤 遲 齒 斥 翅 恥 馳 癡 匙 痴 喫 弛 侈 呎 熾 嗤 叱 墀 啻 飭 敕 笞 哧 鴟 坻 豉 褫 鶒 蚩 踅 絺 傺 彳 螭 饎 摛 箎 踟 魑 扡 黐 勅 勑 奓 媸 彲 彽 抶 敇 樆 欼 瓻 痓 瘛 眵 离 竾 篪 粚 翄 茌 蚳 誃 跮 遟 郗
ㄕ	是 時 十 事 實 市 使 式 什 師 示 視 世 始 士 失 識 施 史 試 似 食 勢 適 室 石 詩 釋 氏 飾 駛 獅 濕 逝 拾 屍 誓 溼 蝕 匙 仕 侍 屎 嗜 拭 矢 噬 柿 峙 恃 虱 筮 尸 鰣 豕 舐 弒 蝨 軾 蓍 蒔 螫 奭 鳲 湜 寔 塒 貰 〸 䂖 丗 乨 亊 兘 卋 宩 忕 戺 揓 旹 昰 柹 栻 溮 澨 炻 眂 眎 眡 祏 絁 舓 葹 襫 諟 諡 謚 邿 釃 鈰 飠 鰤 鳾 鼫 鼭
ㄖ	日 兒 馹 囸 氜 鈤
ㄗ	自 子 資 字 仔 滋 姊 姿 諮 茲 紫 吱 梓 漬 孳 恣 籽 孜 咨 貲 訾 緇 笫 錙 髭 齜 滓 秭 菑 呲 耔 胾 鎡 鯔 鼒 剚 呰 嗞 姉 孖 孶 嵫 扻 淄 澬 牸 玆 眥 眦 矷 粢 胏 胔 茈 茊 虸 觜 谘 趑 趦 輜 鄑 鰦
ㄘ	此 次 差 詞 刺 辭 慈 瓷 茲 磁 賜 伺 雌 疵 祠 茨 莿 佽 玼 佌 呲 鶿 泚 䛐 偨 刾 朿 糍 絘 茈 蛓 跐 辤 餈 骴 鴜 鷀
ㄙ	四 司 思 死 斯 似 食 私 絲 寺 廁 伺 飼 肆 撕 祀 俟 嗣 廝 嘶 鷥 姒 駟 兕 巳 泗 耜 虒 偲 涘 汜 緦 螄 鍶 笥 〤 㟃 䦉 亖 佀 儩 厮 厶 噝 柶 澌 禠 禩 竢 糹 罳 覗 颸 飤
ㄚ	啊 阿 呵 腌 嗄 吖 錒
ㄛ	喔 哦 噢 嚄
ㄜ	阿 額 惡 俄 餓 哦 鵝 噁 扼 娥 遏 蛾 蚵 厄 噩 愕 峨 呃 鱷 顎 訛 堊 婀 鄂 莪 鶚 咢 諤 萼 阨 搤 鍔 吪 堮 屙 軛 閼 䖸 䳗 䳘 呝 咹 囮 堨 妸 姶 娿 峩 崿 嶭 戹 枙 涐 皒 砈 苊 蕚 詻 譌 軶 鋨 頞 頟 餩 鰐 鵞 齶
ㄞ	愛 癌 礙 艾 哀 矮 埃 挨 唉 欸 哎 隘 曖 藹 靄 捱 皚 噯 璦 靉 毐 僾 餲 㝵 㤅 嗌 嘊 壒 娭 嬡 敱 瞹 砹 磑 薆 銰 鎄 鑀 騃
ㄟ	欸 誒
ㄠ	奧 澳 傲 熬 凹 敖 懊 拗 翱 遨 襖 鰲 嗷 螯 鏖 驁 獒 謷 坳 聱 鼇 奡 嶴 廒 摮 㘭 䴈 圫 垇 墺 媼 嶅 抝 爊 璈 翺 鏊 隞 鿫
ㄡ	區 歐 偶 嘔 毆 鷗 謳 藕 耦 漚 禺 甌 吽 慪 熰 𠙶
ㄢ	案 安 岸 按 暗 胺 黯 諳 鞍 庵 氨 俺 闇 菴 鵪 桉 犴 唵 垵 盦 銨 㟁 啽 埯 媕 揞 晻 萻 豻 鞌 鮟 鶕
ㄣ	恩 嗯 摁 㤙 蒽
ㄤ	昂 盎 骯 卬 昻 枊
ㄥ	鞥
ㄦ	而 二 兒 爾 耳 貳 餌 邇 洱 薾 鉺 鴯 〢 佴 刵 咡 唲 尒 尓 弍 栭 樲 洏 珥 耏 胹 衈 輀 轜 陑 駬 鮞
ㄧ	一 以 意 已 義 易 依 益 異 億 移 疑 亦 宜 伊 憶 尾 儀 役 怡 疫 椅 抑 毅 矣 乙 翼 夷 姨 溢 奕 倚 壹 懿 翌 繹 挹 熠 屹 漪 翊 咦 弋 羿 佚 翳 埸 睪 咿 沂 猗 揖 噫 囈 痍 肄 刈 佾 弈 悒 縊 斁 圯 懌 禕 仡 旖 浥 乂 勩 嫕 嶷 桋 檥 欹 殪 瘞 〡 㑊 㕥 㠯 亄 伇 侇 偯 劓 劮 匜 吚 唈 嗌 圛 埶 宧 峓 嶧 帟 廙 弌 彛 彝 恞 扆 攺 暆 曀 杙 杝 枻 柂 栘 椸 檍 殹 毉 泆 洢 熤 燚 燡 瑿 瓵 癔 眙 瞖 簃 繄 肊
